amenitiesId,amenities
LOSAMT11,"['Free parking on premises', 'Kitchen', 'Wifi', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Lockbox', 'Private entrance', 'Game console', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Long term stays allowed', 'Hot water kettle', 'Ceiling fan', 'Dining table', 'Toaster', 'Freezer', 'Rice maker', 'Keurig coffee machine', 'Baking sheet', 'Barbecue utensils', 'Wine glasses']"
LOSAMT12,"['Free parking on premises', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Keypad', 'Hot water', 'Body soap', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Outdoor furniture', 'Freezer', 'Shower gel', 'Conditioner']"
LOSAMT13,"['Kitchen', 'Wifi', 'Indoor fireplace', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'Lockbox', 'Private entrance', 'Bathtub', 'Babysitter recommendations', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Refrigerator', 'Dishes and silverware', 'Patio or balcony']"
LOSAMT14,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Iron', 'Hangers', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Lockbox', 'Private entrance', 'Bathtub', 'Children’s books and toys', 'Pack ’n play/Travel crib', 'Room-darkening shades', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Kitchenette', 'Mini fridge', 'Outdoor dining area', 'Dining table', 'Outdoor furniture', 'Freezer', 'Board games', 'Portable fans', 'Record player', 'Shower gel', 'Conditioner', 'Cleaning products', 'Clothing storage', 'Wine glasses']"
LOSAMT15,"['Free parking on premises', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Smart lock', 'Private entrance', 'Bathtub', 'Room-darkening shades', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Patio or balcony', 'Long term stays allowed', 'Dining table', 'Toaster', 'Outdoor furniture', 'Freezer', 'Keurig coffee machine', 'Baking sheet', 'Conditioner', 'Cleaning products', 'Clothing storage', 'Wine glasses']"
LOSAMT16,"['Free parking on premises', 'Kitchen', 'Wifi', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Lockbox', 'Private entrance', 'Bathtub', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'EV charger', 'Single level home', 'BBQ grill', 'Patio or balcony', 'Backyard', 'Long term stays allowed', 'Hot water kettle', 'Mini fridge', 'Sound system', 'Safe', 'Dining table', 'Outdoor furniture', 'Freezer', 'Board games', 'Portable fans', 'Record player', 'Baking sheet', 'Barbecue utensils', 'Laundromat nearby', 'Cleaning products', 'Drying rack for clothing', 'Clothing storage', 'Wine glasses']"
LOSAMT17,"['Free parking on premises', 'Kitchen', 'Wifi', 'Pool', 'Indoor fireplace', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Keypad', 'Private entrance', 'Bathtub', 'High chair', 'Crib', 'Pack ’n play/Travel crib', 'Room-darkening shades', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'BBQ grill', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning available during stay', 'Hot water kettle', 'Outdoor dining area', 'Dining table', 'Toaster', 'Outdoor furniture', 'Freezer', 'Shower gel', 'Baking sheet', 'Barbecue utensils', 'Conditioner', 'Cleaning products', 'Clothing storage', 'Wine glasses']"
LOSAMT18,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Hot water', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Smoke alarm', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Microwave', 'Oven', 'Refrigerator', 'Stove', 'Free street parking', 'Smart lock']"
LOSAMT19,"['Free parking on premises', 'Kitchen', 'Wifi', 'Cable TV', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Bathtub', 'Hot water', 'Bed linens', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Lock on bedroom door', 'Smoke alarm', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Microwave', 'Oven', 'Refrigerator', 'Stove', 'Private entrance', 'Backyard', 'Outdoor dining area', 'Outdoor furniture', 'Free street parking', 'Single level home', 'Long term stays allowed', 'Luggage dropoff allowed', 'Keypad']"
LOSAMT20,"['Kitchen', 'Wifi', 'Cable TV', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'TV', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'Private entrance', 'High chair', 'Pack ’n play/Travel crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'BBQ grill', 'Patio or balcony', 'Backyard', 'Beach essentials']"
LOSAMT21,"['Elevator', 'Free parking on premises', 'Gym', 'Kitchen', 'Wifi', 'Hot tub', 'Pool', 'Dedicated workspace', 'Iron', 'Hangers', 'Washer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Conditioner', 'Hot water', 'Shower gel', 'Bed linens', 'Clothing storage', 'Extra pillows and blankets', 'Ceiling fan', 'Carbon monoxide alarm', 'Lock on bedroom door', 'Smoke alarm', 'Coffee maker', 'Cooking basics', 'Dining table', 'Dishes and silverware', 'Dishwasher', 'Freezer', 'Microwave', 'Oven', 'Refrigerator', 'Stove', 'Laundromat nearby', 'BBQ grill', 'Outdoor dining area', 'Patio or balcony', 'Free street parking', 'Long term stays allowed', 'Luggage dropoff allowed', 'Keypad']"
LOSAMT22,"['Kitchen', 'Wifi', 'Cable TV', 'Dedicated workspace', 'Iron', 'Hangers', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Keypad', 'Private entrance', 'Bathtub', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Hot water kettle', 'Ceiling fan', 'Safe', 'Toaster', 'Freezer', 'Shower gel', 'Baking sheet', 'Conditioner', 'Laundromat nearby', 'Cleaning products', 'Clothing storage', 'Wine glasses']"
LOSAMT23,"['Free parking on premises', 'Kitchen', 'Wifi', 'Pool', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Private entrance', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Backyard']"
LOSAMT24,"['Free parking on premises', 'Kitchen', 'Wifi', 'Pool', 'Indoor fireplace', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Lock on bedroom door', 'Private entrance', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you', 'Hot water kettle', 'Ceiling fan', 'Outdoor dining area', 'Mosquito net', 'Dining table', 'Outdoor furniture', 'Portable fans', 'Laundromat nearby', 'Drying rack for clothing', 'Clothing storage', 'Wine glasses']"
LOSAMT25,"['Kitchen', 'Wifi', 'Indoor fireplace', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Private entrance', 'Pack ’n play/Travel crib', 'Cooking basics', 'Backyard']"
LOSAMT26,"['Free parking on premises', 'Breakfast', 'Kitchen', 'Wifi', 'Hot tub', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Essentials', 'Heating', 'Bathtub', 'Body soap', 'Cleaning products', 'Conditioner', 'Hot water', 'Outdoor shower', 'Shower gel', 'Bed linens', 'Clothing storage', 'Extra pillows and blankets', 'Baby bath', 'Babysitter recommendations', 'Children’s books and toys', 'Children’s dinnerware', 'High chair', 'Pack ’n play/Travel crib', 'Portable fans', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Smoke alarm', 'Baking sheet', 'Barbecue utensils', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Freezer', 'Hot water kettle', 'Kitchenette', 'Microwave', 'Oven', 'Refrigerator', 'Rice maker', 'Stove', 'Toaster', 'Wine glasses', 'Laundromat nearby', 'Private entrance', 'BBQ grill', 'Beach essentials', 'Fire pit', 'Backyard', 'Outdoor dining area', 'Outdoor furniture', 'Patio or balcony', 'Free street parking', 'Sauna', 'Single level home', 'Long term stays allowed', 'Luggage dropoff allowed', 'Lockbox']"
LOSAMT27,"['Elevator', 'Free parking on premises', 'Gym', 'Kitchen', 'Wifi', 'Hot tub', 'Pool', 'Cable TV', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Hot water', 'Carbon monoxide alarm', 'Fire extinguisher', 'Smoke alarm', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Oven', 'Refrigerator', 'Stove', 'BBQ grill', 'Fire pit', 'Outdoor dining area', 'Outdoor furniture', 'Patio or balcony', 'Free street parking', 'Long term stays allowed']"
LOSAMT28,"['Free parking on premises', 'Kitchen', 'Wifi', 'Iron', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Hot water', 'Bed linens', 'Clothing storage', 'Carbon monoxide alarm', 'Lock on bedroom door', 'Smoke alarm', 'Coffee maker', 'Dishes and silverware', 'Refrigerator', 'Lockbox']"
LOSAMT29,"['Free parking on premises', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Keypad', 'Private entrance', 'Bathtub', 'High chair', 'Crib', 'Pack ’n play/Travel crib', 'Room-darkening shades', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'EV charger', 'Patio or balcony', 'Beach essentials', 'Long term stays allowed', 'Beachfront', 'Hot water kettle', 'Ceiling fan', 'Dining table', 'Toaster', 'Outdoor furniture', 'Freezer', 'Keurig coffee machine', 'Portable fans', 'Shower gel', 'Baking sheet', 'Conditioner', 'Cleaning products', 'Clothing storage', 'Wine glasses']"
LOSAMT30,"['Free parking on premises', 'Kitchen', 'Wifi', 'Hot tub', 'Pool', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Lock on bedroom door', 'Private entrance', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning available during stay', 'Host greets you', 'Hot water kettle', 'Mini fridge', 'Outdoor dining area', 'Bikes', 'Dining table', 'Toaster', 'Outdoor furniture', 'Rice maker', 'Portable fans', 'Baking sheet', 'Conditioner', 'Trash compactor', 'Laundromat nearby', 'Cleaning products', 'Drying rack for clothing', 'Clothing storage', 'Wine glasses']"
LOSAMT31,"['Free parking on premises', 'Kitchen', 'Wifi', 'Hot tub', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Keypad', 'Outlet covers', 'Bathtub', 'Changing table', 'High chair', 'Baby safety gates', 'Pack ’n play/Travel crib', 'Children’s dinnerware', 'Game console', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Backyard', 'Long term stays allowed', 'Cleaning available during stay', 'Hot water kettle', 'Ceiling fan', 'Mini fridge', 'Outdoor dining area', 'Sound system', 'Fire pit', 'Dining table', 'Toaster', 'Outdoor furniture', 'Freezer', 'Rice maker', 'Board games', 'Keurig coffee machine', 'Ping pong table', 'Pool table', 'Portable fans', 'Baking sheet', 'Barbecue utensils', 'Laundromat nearby', 'Cleaning products', 'Clothing storage', 'Wine glasses']"
LOSAMT32,"['Wifi', 'Iron', 'Dryer', 'Washer', 'Essentials', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'Private entrance', 'Refrigerator']"
LOSAMT33,"['Free parking on premises', 'Kitchen', 'Wifi', 'Indoor fireplace', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Lock on bedroom door', 'Bathtub', 'High chair', 'Children’s books and toys', 'Babysitter recommendations', 'Crib', 'Pack ’n play/Travel crib', 'Children’s dinnerware', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you', 'Outdoor dining area', 'Outdoor furniture', 'Board games']"
LOSAMT34,"['Kitchen', 'Wifi', 'Cable TV', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Keypad', 'Private entrance', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Ceiling fan', 'Mini fridge', 'Toaster', 'Shower gel', 'Conditioner', 'Cleaning products', 'Clothing storage', 'Wine glasses']"
LOSAMT35,"['Free parking on premises', 'Kitchen', 'Wifi', 'Cable TV', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Bathtub', 'Hot water', 'Shower gel', 'Bed linens', 'Extra pillows and blankets', 'Children’s books and toys', 'Children’s dinnerware', 'Carbon monoxide alarm', 'Fire extinguisher', 'Smoke alarm', 'Baking sheet', 'Barbecue utensils', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Microwave', 'Oven', 'Refrigerator', 'Stove', 'BBQ grill', 'Backyard', 'Patio or balcony', 'Free street parking', 'Single level home', 'Lockbox']"
LOSAMT36,"['Free parking on premises', 'Kitchen', 'Wifi', 'Iron', 'Dryer', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Fire extinguisher', 'Lock on bedroom door', 'Bathtub', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'EV charger', 'Single level home', 'BBQ grill', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning available during stay', 'Host greets you', 'Hot water kettle', 'Kayak', 'Outdoor dining area', 'Fire pit', 'Safe', 'Dining table', 'Toaster', 'Outdoor furniture', 'Paid parking on premises', 'Freezer', 'Piano', 'Baking sheet', 'Barbecue utensils', 'Wine glasses']"
LOSAMT37,"['Kitchen', 'Wifi', 'Hot tub', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'Air conditioning', 'Essentials', 'Heating', 'Cleaning products', 'Hot water', 'Carbon monoxide alarm', 'Fire extinguisher', 'Smoke alarm', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Private entrance', 'BBQ grill', 'Fire pit', 'Backyard', 'Outdoor furniture', 'Patio or balcony']"
