listingId,airbnbPropertyId,bedrooms,bathrooms,maxGuests,listingTitle,propertyType,listingType,listingURL,pictureURL,createdDate,cancellationPolicy,instantBookable,petsAllowed
LOSLIS11,29867420,3,2,8,"3 Bedroom main house centrally located, Torrance.",Entire home,entire_home,http://airbnb.com/rooms/29867420,https://a0.muscache.com/im/pictures/20885173-189f-4dad-b295-4a39e03cc553.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS12,934488,1,1,4,Modern Studio Loft + Roof Deck Steps from Beach,Entire loft,entire_home,http://airbnb.com/rooms/934488,https://a0.muscache.com/im/pictures/472d7fac-df43-4e8c-b82b-790c0236319c.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS13,26890450,3,3,8,LuxuryVeniceBeachPrimeLocationWalk,Entire home,entire_home,http://airbnb.com/rooms/26890450,https://a0.muscache.com/im/pictures/miso/Hosting-26890450/original/69ba0ce9-f929-44c7-a057-a98c19280475.jpeg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS14,27084116,1,1,2,The Hideaway,Entire guest suite,entire_home,http://airbnb.com/rooms/27084116,https://a0.muscache.com/im/pictures/miso/Hosting-27084116/original/79f9d2ba-67fe-48eb-9f5d-5e186bedc9d1.jpeg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS15,52373318,3,2,8,"Comfy & Spacious New 3 Bd. 2 Ba., Welcome ALL",Entire home,entire_home,http://airbnb.com/rooms/52373318,https://a0.muscache.com/im/pictures/66cff478-346f-43fa-89e5-f027beefcd0a.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS16,45928919,2,2,4,Casa Nikita: A comfortable home away from home.,Entire home,entire_home,http://airbnb.com/rooms/45928919,https://a0.muscache.com/im/pictures/b5ef1535-0728-4eb5-949a-5de703912105.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS17,11676081,4,2,15,4 bedroom house with a pool,Entire home,entire_home,http://airbnb.com/rooms/11676081,https://a0.muscache.com/im/pictures/miso/Hosting-11676081/original/4e7f8c00-725d-44dd-b552-a622b2970f9e.jpeg?aki_policy=small,31/07/2023,better_strict_with_grace_period,False,False
LOSLIS18,11105768,2,3,3,2 bed 2.5 bath West LA quiet safe,Entire rental unit,entire_home,http://airbnb.com/rooms/11105768,https://a0.muscache.com/im/pictures/60f71d7d-7ef6-4742-8c17-63a2a27ed8af.jpg?aki_policy=small,08/10/2022,strict_14_with_grace_period,False,False
LOSLIS19,10965459,1,1,1,"SEPARATE ENTRANCE, Bright, Quiet, Spacious, Room",Private room in home,private_room,http://airbnb.com/rooms/10965459,https://a0.muscache.com/im/pictures/98ed4d2e-4e8a-42f7-ab4d-7df2d6d576de.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS20,752388,1,1,3,Quiet/Cozy Venice Beach - 1 BDR APT,Entire home,entire_home,http://airbnb.com/rooms/752388,https://a0.muscache.com/im/pictures/10875472/6c06a7e8_original.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS21,48243193,1,1,2,Zen Den w/Private Bathroom,Private room in condo,private_room,http://airbnb.com/rooms/48243193,https://a0.muscache.com/im/pictures/cc421d3b-0645-48e3-bb71-16ff9a0451ae.jpg?aki_policy=small,12/12/2022,moderate,False,False
LOSLIS22,45935431,1,1,2,Sherwood Forest Retreat for Leisure/Business,Entire guesthouse,entire_home,http://airbnb.com/rooms/45935431,https://a0.muscache.com/im/pictures/37d79151-0fa4-495a-875d-055133fb0d8a.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS23,33767610,2,1,2,COZY NORTHRIDGE GUEST HOUSE NEAR CSUN,Entire guesthouse,entire_home,http://airbnb.com/rooms/33767610,https://a0.muscache.com/im/pictures/50579961-5252-4279-8d71-de4adcbabc2b.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS24,39305322,1,1,4,High Ceiling furnished private large room # 1,Private room in home,private_room,http://airbnb.com/rooms/39305322,https://a0.muscache.com/im/pictures/3620eced-093c-4cf5-a5a0-aa5a0e2e414b.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS25,51747288,3,2,7,Bright & Peaceful Zen Oasis - West LA/Santa Monica,Entire home,entire_home,http://airbnb.com/rooms/51747288,https://a0.muscache.com/im/pictures/21eee2a2-126f-4413-a040-8135aaf6c7bd.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS26,31168963,3,2,10,The Surfers Oasis; 9 Beds/ Hot tub/Walk to Beach!,Entire home,entire_home,http://airbnb.com/rooms/31168963,https://a0.muscache.com/im/pictures/miso/Hosting-31168963/original/00dc9497-7ce4-4706-9057-7177442fe083.jpeg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS27,24862323,1,1,2,Playa vista living with amazing views.,Entire condo,entire_home,http://airbnb.com/rooms/24862323,https://a0.muscache.com/im/pictures/86acb387-5ade-4269-9d62-74cfdb534fcb.jpg?aki_policy=small,12/12/2022,moderate,False,False
LOSLIS28,45813523,1,0,1,Comfortable relaxing place to be,Private room in bed and breakfast,private_room,http://airbnb.com/rooms/45813523,https://a0.muscache.com/im/pictures/82f07271-4e88-4dfe-8495-b4788484db49.jpg?aki_policy=small,12/12/2022,flexible,False,False
LOSLIS29,48471096,2,1,4,Beachfront paradise with unforgettable view,Entire home,entire_home,http://airbnb.com/rooms/48471096,https://a0.muscache.com/im/pictures/930876e2-3553-4ea7-b07a-570fded21f87.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS30,15255790,1,1,1,Cozy Room with Sunset View of the Valley,Private room in guest suite,private_room,http://airbnb.com/rooms/15255790,https://a0.muscache.com/im/pictures/8db06021-0771-4046-989d-285cd45d01db.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS31,9040214,5,3,12,Amazing remodled 5 bedroom house with tons of room,Entire home,entire_home,http://airbnb.com/rooms/9040214,https://a0.muscache.com/im/pictures/02505fe2-5a56-45bb-aed7-a3a87fc78248.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS32,20805653,Studio,0,2,"""Venice-Mar Vista""""Small Sleepover Place""""NO BATHROOM""",Entire rental unit,entire_home,http://airbnb.com/rooms/20805653,https://a0.muscache.com/im/pictures/3df178cd-2508-4808-a46b-841eb5b0d635.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS33,226517,1,2,1,Private Room,Private room in home,private_room,http://airbnb.com/rooms/226517,https://a0.muscache.com/im/pictures/airflow/Hosting-226517/original/26c65362-4c65-457b-a010-f0137758d86b.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS34,14818746,Studio,1,2, ️ Cozy & Bright Bungalow close to everything,Entire guesthouse,entire_home,http://airbnb.com/rooms/14818746,https://a0.muscache.com/im/pictures/11648527-5b46-4a7f-8e39-593aff8eef90.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS35,38488098,2,2,5,MarVista House with Huge Yard and Covered Patio,Entire home,entire_home,http://airbnb.com/rooms/38488098,https://a0.muscache.com/im/pictures/2ff3ac35-6d0b-4aa9-9a7f-47235f7947f0.jpg?aki_policy=small,12/12/2022,moderate,False,False
LOSLIS36,33917382,1,1,1,"A+ location""",Private room in home,private_room,http://airbnb.com/rooms/33917382,https://a0.muscache.com/im/pictures/9ccebd54-2d8d-4c36-b78e-4f03f5f37e23.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS37,33118257,3,3,5,Majestic Morrocan Oasis,Entire home,entire_home,http://airbnb.com/rooms/33118257,https://a0.muscache.com/im/pictures/miso/Hosting-33118257/original/c7fa432a-1aae-415a-8313-94531ff65c3f.jpeg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS38,43869023,3,3,6,$4M Luxury Home with Stunning Views and Fire Pit,Entire home,entire_home,http://airbnb.com/rooms/43869023,https://a0.muscache.com/im/pictures/826420fc-e0eb-4648-b738-f628dceb80dc.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS39,39796927,Studio,1,2,Master bedroom with private entrance,Private room in home,private_room,http://airbnb.com/rooms/39796927,https://a0.muscache.com/im/pictures/dc0ad500-bbe7-468c-800d-d6565b65e777.jpg?aki_policy=small,31/07/2023,better_strict_with_grace_period,False,False
LOSLIS40,31048422,1,1,2,"With a private Entrance""",Private room in home,private_room,http://airbnb.com/rooms/31048422,https://a0.muscache.com/im/pictures/b8e66fe6-b7f5-432b-ad6f-c71b4f9afbb7.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS41,37058510,4,3,10,"Los Angeles Porter Ranch, POOL.Bar,Playground,pets",Entire home,entire_home,http://airbnb.com/rooms/37058510,https://a0.muscache.com/im/pictures/miso/Hosting-37058510/original/aec782bc-7dcf-40cd-bcbf-e3885acf88ae.jpeg?aki_policy=small,31/07/2023,better_strict_with_grace_period,False,False
LOSLIS42,25129020,1,1,2,"Bedroom Suite, Own Entrance, Modern Home in Palms",Private room in home,private_room,http://airbnb.com/rooms/25129020,https://a0.muscache.com/im/pictures/miso/Hosting-25129020/original/20779bfe-df02-474d-b288-f5bbdb860613.jpeg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS43,48254325,1,1,2,Socially Distance Here: Private Studio + Free Yoga,Entire rental unit,entire_home,http://airbnb.com/rooms/48254325,https://a0.muscache.com/im/pictures/d9f3b1b7-ba10-4d1f-b95b-1a6d4f0f94ba.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS44,34540466,1,1,2,Playa/Silicon Beach House,Entire guest suite,entire_home,http://airbnb.com/rooms/34540466,https://a0.muscache.com/im/pictures/09b060d7-99b2-40f3-b3df-aa17fae6799b.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS45,53171667,3,3,6,"Cozy lux villa up the mountain , Sauna, BBQ",Entire home,entire_home,http://airbnb.com/rooms/53171667,https://a0.muscache.com/im/pictures/eb1ae294-12ef-414e-bb1c-8cbe224ca455.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS46,1831849,1,1,1,Beautiful room with heavenly view,Private room in home,private_room,http://airbnb.com/rooms/1831849,https://a0.muscache.com/im/pictures/231ab5c0-fbe9-4b5d-b9b1-353148d9d6a8.jpg?aki_policy=small,12/12/2022,moderate,False,False
LOSLIS47,44266017,3,3,6,Balinese Villa with Pool Oasis,Entire villa,entire_home,http://airbnb.com/rooms/44266017,https://a0.muscache.com/im/pictures/e71e80b5-e920-41ba-b67a-9b70ca1158bf.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS48,42901699,1,1,2,Very Clean|Quiet Work-From-Home|Fast Wifi|CSUN,Private room in home,private_room,http://airbnb.com/rooms/42901699,https://a0.muscache.com/im/pictures/73c8f64a-636f-4342-b726-776e4a26e549.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS49,31706590,4,2,12,Heated Pool House 4+2 With Guest House all Private,Entire home,entire_home,http://airbnb.com/rooms/31706590,https://a0.muscache.com/im/pictures/c7aff416-7c8b-4bb7-99ac-0ea89cdac9a9.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS50,3194941,3,2,6,BRIGHT & Comfy Home in Best WLA Area,Entire home,entire_home,http://airbnb.com/rooms/3194941,https://a0.muscache.com/im/pictures/f58a4520-73e5-4fc5-b3c7-3d771d949f43.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS51,36041746,3,3,5,Chic Silicon Beach Home with Panoramic VIEWS,Entire home,entire_home,http://airbnb.com/rooms/36041746,https://a0.muscache.com/im/pictures/miso/Hosting-36041746/original/5a189e2e-6bd0-4746-b4ad-0d369c682b30.jpeg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS52,53756253,5,3,10, ️Large Quiet Remodeled 5/3 close to LAX w/Hot Tub ️,Entire home,entire_home,http://airbnb.com/rooms/53756253,https://a0.muscache.com/im/pictures/4813c08a-394c-4102-afff-29aeb6ef69e9.jpg?aki_policy=small,31/07/2023,better_strict_with_grace_period,False,False
LOSLIS53,19366917,2,1,4,"Inglewood close home near LAX, beaches & downtown",Entire home,entire_home,http://airbnb.com/rooms/19366917,https://a0.muscache.com/im/pictures/65d1a7fa-538a-4a51-841f-b815c2b154d4.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS54,6558837,1,1,4,420 Friendly Room4Rent shared bath*,Private room in home,private_room,http://airbnb.com/rooms/6558837,https://a0.muscache.com/im/pictures/3203eef5-fe60-4876-ba9f-70ef6b6941a5.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS55,40117907,1,1,2,Gypset Nomad House : Venice (A),Entire guesthouse,entire_home,http://airbnb.com/rooms/40117907,https://a0.muscache.com/im/pictures/6b96fc25-31cb-4df7-9da7-59a6f88c6f40.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS56,52636706,2,1,4,Venice Beach Oasis - HotTub & Abbot Kinney Close,Entire home,entire_home,http://airbnb.com/rooms/52636706,https://a0.muscache.com/im/pictures/49b62c07-0a24-4ebd-90a6-0ad1accb363a.jpg?aki_policy=small,31/07/2023,better_strict_with_grace_period,False,False
LOSLIS57,33908948,3,4,9,Gated Playa Del Rey Home + Studio/Yard/Hot Tub!,Entire home,entire_home,http://airbnb.com/rooms/33908948,https://a0.muscache.com/im/pictures/8467903f-087e-4f5a-911d-5dd3f9308f33.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS58,41463582,1,1,2,LAX Teresa lovely Room 2,Private room in villa,private_room,http://airbnb.com/rooms/41463582,https://a0.muscache.com/im/pictures/miso/Hosting-41463582/original/bbee91e6-5b69-4d80-8337-637c2b8b1c01.jpeg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS59,51131912,Studio,1,3,Adorable studio apartment with patio access,Entire guesthouse,entire_home,http://airbnb.com/rooms/51131912,https://a0.muscache.com/im/pictures/miso/Hosting-51131912/original/2ff11d07-c9ec-43ab-8bdb-f444da96a565.jpeg?aki_policy=small,31/07/2023,better_strict_with_grace_period,False,False
LOSLIS60,40679795,2,1,4,Brand New Private Oasis in the  ️ of Los Angeles,Entire guesthouse,entire_home,http://airbnb.com/rooms/40679795,https://a0.muscache.com/im/pictures/miso/Hosting-40679795/original/2d9c04c4-3cc1-47b2-bda9-92456835b970.jpeg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS61,36241162,1,1,2,Master Bedroom & Bath with Private Entrance,Private room in guest suite,private_room,http://airbnb.com/rooms/36241162,https://z1.muscache.cn/im/pictures/e25fa10e-0614-42cc-8685-b6310c6c9a57.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS62,23154639,1,1,2,Cozy Sweet Guesthouse in the heart of West LA,Entire home,entire_home,http://airbnb.com/rooms/23154639,https://a0.muscache.com/im/pictures/acc3f472-aba2-412a-a7c6-cdb27178b5d6.jpg?aki_policy=small,12/12/2022,flexible,False,False
LOSLIS63,45569436,1,1,2,Modern Studio in Venice Beach,Entire guest suite,entire_home,http://airbnb.com/rooms/45569436,https://a0.muscache.com/im/pictures/d454d294-975a-4d5b-b4d2-22b6ec644270.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS64,45673360,1,1,4,Beautiful and  cozy guest suite with free parking,Entire guest suite,entire_home,http://airbnb.com/rooms/45673360,https://a0.muscache.com/im/pictures/606fb49f-8d2d-4641-ab3d-74607ae914eb.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS65,29457131,Studio,1,2,Cool Serene Studio,Entire guest suite,entire_home,http://airbnb.com/rooms/29457131,https://a0.muscache.com/im/pictures/74aa1a76-f696-4b37-94de-bb05a109fcf7.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS66,19242151,4,3,8,Incredible house off the Venice Canals,Entire home,entire_home,http://airbnb.com/rooms/19242151,https://a0.muscache.com/im/pictures/db98bbf0-22e0-49d1-85f4-6f1a9059c66e.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS67,50175335,Studio,1,2,Venice Love Nest off Abbot Kinney,Entire rental unit,entire_home,http://airbnb.com/rooms/50175335,https://a0.muscache.com/im/pictures/718cb71d-bdd6-4ed4-a7ff-811cc1fd463f.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS68,18262153,3,2,8,3 bed/2 bath home (up to 8 guests) Plz read 4 more,Entire bungalow,entire_home,http://airbnb.com/rooms/18262153,https://a0.muscache.com/im/pictures/a17cc731-8053-459d-971f-4b67cdc61597.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS69,44537027,1,1,4,"Newly Built, Beautiful Sherwood Forest Guesthouse",Entire guesthouse,entire_home,http://airbnb.com/rooms/44537027,https://a0.muscache.com/im/pictures/1f030ece-b874-421f-a92f-38769bbeaaf0.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS70,48107896,1,1,3,Tiny House  Studio,Tiny home,entire_home,http://airbnb.com/rooms/48107896,https://a0.muscache.com/im/pictures/miso/Hosting-48107896/original/9f6588e9-fc19-4701-aed1-3cc5f1c4b953.jpeg?aki_policy=small,09/10/2022,strict_14_with_grace_period,False,False
LOSLIS71,20805592,Studio,1,3,"""Venice-Mar Vista """"Tower Studio""""""",Entire rental unit,entire_home,http://airbnb.com/rooms/20805592,https://a0.muscache.com/im/pictures/a8ffcbd1-f312-49d5-acc5-ae520da082b6.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS72,30957711,1,1,2,GUEST SUITE Private Studio Room in S. Central LA,Entire guest suite,entire_home,http://airbnb.com/rooms/30957711,https://a0.muscache.com/im/pictures/d02e0fee-349c-46dc-be18-89db2fde88a9.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS73,48150529,Studio,1,3,Gorgeous Studio Unit in Woodland Hills,Entire guest suite,entire_home,http://airbnb.com/rooms/48150529,https://a0.muscache.com/im/pictures/9b2f3b79-9c00-472c-8d2b-09858424d837.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS74,34477334,3,1,6,Warm and Welcoming Quiet 3br Home w/Pool,Entire home,entire_home,http://airbnb.com/rooms/34477334,https://a0.muscache.com/im/pictures/0bc87b6d-c062-47e0-a93c-b1ee912aa444.jpg?aki_policy=small,31/07/2023,better_strict_with_grace_period,False,False
LOSLIS75,50348134,1,1,2,Sonder at FOUND Santa Monica | Accessible King,Room in boutique hotel,private_room,http://airbnb.com/rooms/50348134,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50348134/original/f88186b4-0e2e-4114-ae48-d499431d63ac.jpeg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS76,29364969,Studio,1,2,Private Entrance Guest Suite in Sawtelle Home,Private room in home,private_room,http://airbnb.com/rooms/29364969,https://a0.muscache.com/im/pictures/25df5f68-1d23-4bdf-be34-d1b71a1bc885.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS77,26198845,1,1,2,"Cozy and exclusive 1 Bedroom - Playa del Rey, LAX",Entire guest suite,entire_home,http://airbnb.com/rooms/26198845,https://a0.muscache.com/im/pictures/miso/Hosting-26198845/original/7ff82e10-ad43-4ba2-9141-9b61d07b96fb.jpeg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS78,34035301,3,2,5,Venice Beach Bungalow  Steps from the Canals,Entire bungalow,entire_home,http://airbnb.com/rooms/34035301,https://a0.muscache.com/im/pictures/770961f7-a943-4896-b3f6-b11331f4cb1d.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS79,19160343,1,1,2,Tranquil Outdoor Living in This Architect Designed Home,Entire home,entire_home,http://airbnb.com/rooms/19160343,https://a0.muscache.com/im/pictures/miso/Hosting-19160343/original/6471ae30-8435-41bc-9732-7112c25a0ea4.jpeg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS80,27729396,1,1,2,Cozy Private Room Near LAX,Private room in home,private_room,http://airbnb.com/rooms/27729396,https://a0.muscache.com/im/pictures/4e32040e-232c-46af-9ac7-197fb5f3949c.jpg?aki_policy=small,12/12/2022,better_strict_with_grace_period,False,False
LOSLIS81,48445435,Studio,1,2,Stay in a Sculpture Gallery,Entire loft,entire_home,http://airbnb.com/rooms/48445435,https://a0.muscache.com/im/pictures/miso/Hosting-48445435/original/7d8f0a81-6ece-45c6-9301-630c5cdbf5c7.jpeg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS82,14110112,3,2,6,"Gorgeous, Santa Monica home, near beach w/ pool.",Entire home,entire_home,http://airbnb.com/rooms/14110112,https://a0.muscache.com/im/pictures/1ac30980-96f7-4e49-8fb7-ff36b26e1972.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS83,46009005,1,1,3,1BR/1BA/Kitchen/Living Room Entire Suite + Netflix,Entire guest suite,entire_home,http://airbnb.com/rooms/46009005,https://a0.muscache.com/im/pictures/5b80df0c-b630-4f5b-b883-0b8463fccfe1.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS84,3979641, 'Heating', 'Free street parking', 'Smoke alarm',""",Private room in home,private_room,31/07/2023,10/01/2024,US,California,Playa del Rey,90293,USD,91,1,1,2,f,moderate,25,25,25,25,After 12:00 PM,12:00 PM,4,33.95598,-118.44579,f,4.9,10,10,10,10,10,10,""[Free parking on premises", 'Wifi', 'Cable TV',http://airbnb.com/rooms/3979641,https://a0.muscache.com/im/pictures/c644a29f-4d55-41da-bbae-4717a4778e12.jpg?aki_policy=small, 'Indoor fireplace', 'Fire extinguisher',False,False
LOSLIS85,33095302,Studio,1,2,Private Residence Six Houses From The Beach!,Entire guesthouse,entire_home,http://airbnb.com/rooms/33095302,https://a0.muscache.com/im/pictures/6b70fabe-d2f9-4be5-b15d-ac3b78f7c0cd.jpg?aki_policy=small,12/12/2022,moderate,False,False
LOSLIS86,29059908,2,2,4,Laid-Back Luxe,Entire home,entire_home,http://airbnb.com/rooms/29059908,https://a0.muscache.com/im/pictures/10af818d-32b4-410f-8c30-a11cfe17f151.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS87,44228949,3,2,8,3 Bedroom 2Bath Culver City renovated coastal home,Entire home,entire_home,http://airbnb.com/rooms/44228949,https://a0.muscache.com/im/pictures/0c340d9d-2f51-4f2e-9174-7b8223af9d59.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS88,6292624,Studio,1,3,Welcome to your Home away from home  -Full Kitchen,Entire guesthouse,entire_home,http://airbnb.com/rooms/6292624,https://a0.muscache.com/im/pictures/83161544/5b1c5e7b_original.jpg?aki_policy=small,12/12/2022,flexible,False,False
LOSLIS89,53460880,2,2,6,"""""""Perfect 2Bd/2Ba Apt Pool & Gym OPEN"""" near UCLA B1""",Entire rental unit,entire_home,http://airbnb.com/rooms/53460880,https://a0.muscache.com/im/pictures/705dd908-28cb-492c-b7b8-9e716a4fa411.jpg?aki_policy=small,23/07/2022,strict_14_with_grace_period,False,False
LOSLIS90,53215522,3,2,5,The Zen House with Panoramic Harbor and City Views,Entire home,entire_home,http://airbnb.com/rooms/53215522,https://a0.muscache.com/im/pictures/miso/Hosting-53215522/original/6121fc13-f3b2-4960-9074-e87db674adb5.jpeg?aki_policy=small,31/07/2023,better_strict_with_grace_period,False,False
LOSLIS91,1681745,3,3,8,Luxurious Home Overlooking Venice Canals,Entire home,entire_home,http://airbnb.com/rooms/1681745,https://a0.muscache.com/im/pictures/acf06b38-6352-41dc-bb43-ff4ff9f188af.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS92,41727379,3,2,8,PRIVATE VILLA IN THE HILLS CLOSE TO MALIBU BEACH,Entire home,entire_home,http://airbnb.com/rooms/41727379,https://a0.muscache.com/im/pictures/0701d53a-b72c-4c24-9122-c70b9cd07042.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS93,5295676,1,1,1,Room for Rent,Private room in rental unit,private_room,http://airbnb.com/rooms/5295676,https://a0.muscache.com/im/pictures/b26e2cbb-4328-47ba-9e29-5b61a2503594.jpg?aki_policy=small,12/12/2022,flexible,False,False
LOSLIS94,3945096,Studio,1,1,"*****Studio w/ wifi, cable, AC, kitchen*******",Entire guesthouse,entire_home,http://airbnb.com/rooms/3945096,https://a0.muscache.com/im/pictures/588e0e83-4bc7-4851-82cc-69cc7e4d3376.jpg?aki_policy=small,31/07/2023,moderate,False,False
