reviewId,numberOfReviews,locationRating,communicationRating,overallRating,accuracyRating,valueRating,checkinRating,cleanlinessRating
LOSREV123,10,10,10,5,10,10,10,10
LOSREV124,5,9,10,4.8,10,9,10,9
LOSREV125,35,10,10,4.6,9,9,9,9
LOSREV126,22,10,9,4.8,10,9,9,10
LOSREV127,279,10,10,5,10,9,10,9
LOSREV128,268,10,10,5,10,9,10,10
LOSREV129,129,10,10,5,10,10,10,10
LOSREV130,118,9,9,4.5,9,8,10,9
LOSREV131,183,10,10,4.8,10,9,10,10
LOSREV132,31,10,10,5,10,10,10,10
LOSREV133,25,10,10,4.8,10,9,10,10
LOSREV134,32,10,10,5,10,10,10,10
LOSREV135,116,10,10,4.8,10,9,10,9
LOSREV136,35,9,10,4.7,9,9,10,10
LOSREV137,171,10,10,5,10,10,10,10
LOSREV138,120,10,10,4.9,10,10,10,10
LOSREV139,50,8,9,4.2,8,8,10,8
LOSREV140,98,10,10,5,10,10,10,10
LOSREV141,118,9,10,4.7,10,10,10,9
LOSREV142,127,10,10,4.9,10,10,10,10
LOSREV143,85,10,10,4.9,10,10,10,10
LOSREV144,14,10,9,4.8,10,10,10,10
LOSREV145,166,10,10,5,10,10,10,10
LOSREV146,7,10,10,5,10,9,9,10
LOSREV147,190,10,10,5,10,10,10,10
LOSREV148,88,10,10,5,10,10,10,10
LOSREV149,4,10,10,5,9,9,10,9
LOSREV150,0,10,10,4.8,10,10,10,9
LOSREV151,151,10,10,4.8,10,9,10,10
LOSREV152,79,10,10,4.9,10,9,10,10
LOSREV153,86,8,9,4.5,9,9,9,9
LOSREV154,189,10,10,4.8,10,10,10,10
LOSREV155,78,10,10,4.9,10,9,10,10
LOSREV156,7,9,9,4.3,9,9,8,9
LOSREV157,248,10,10,4.9,10,10,10,10
LOSREV158,143,9,10,4.7,10,9,10,10
LOSREV159,154,10,10,5,10,10,10,10
LOSREV160,6,10,9,4.3,9,9,10,8
LOSREV161,49,9,9,4.2,9,9,10,8
LOSREV162,211,9,10,5,10,10,10,10
LOSREV163,175,10,10,5,10,10,10,10
LOSREV164,707,10,10,4.8,10,9,10,9
LOSREV165,30,10,10,4.8,10,9,10,10
LOSREV166,336,9,9,4.8,10,9,10,10
LOSREV167,150,10,10,4.8,10,10,10,10
LOSREV168,3,9,9,5,9,9,10,10
LOSREV169,596,9,9,4.4,9,8,9,9
LOSREV170,9,10,10,5,10,9,10,10
LOSREV171,135,9,10,4.8,10,10,10,10
LOSREV172,10,10,10,5,10,10,10,10
LOSREV173,142,10,10,4.8,10,10,10,9
LOSREV174,13,10,10,5,10,10,10,10
LOSREV175,3,10,10,5,10,10,10,10
LOSREV176,135,9,9,4.5,9,9,9,8
LOSREV177,26,9,10,4.5,9,8,10,9
LOSREV178,23,10,10,5,10,10,10,10
LOSREV179,239,10,10,4.9,10,10,10,10
LOSREV180,20,10,10,5,10,10,10,10
LOSREV181,146,9,10,4.5,10,9,9,10
LOSREV182,42,9,9,4.3,9,9,9,9
LOSREV183,102,10,10,4.9,10,10,9,10
LOSREV184,6,9,10,4.5,9,9,10,9
LOSREV185,111,10,10,5,10,10,10,10
LOSREV186,39,9,10,4.7,9,9,10,10
LOSREV187,171,10,10,4.9,10,9,10,9
LOSREV188,4,10,10,5,10,10,10,10
LOSREV189,188,9,9,4.6,9,9,9,9
LOSREV190,557,9,10,4.9,10,10,10,10
LOSREV191,102,10,10,5,10,9,10,10
LOSREV192,360,10,10,5,10,10,10,10
LOSREV193,35,10,9,4.8,9,10,9,9
LOSREV194,14,7,7,4,7,7,8,9
LOSREV195,7,10,9,4,8,8,9,8
LOSREV196,14,10,10,5,10,10,10,10
LOSREV197,5,10,9,3.5,8,8,10,6
LOSREV198,81,10,10,4.9,10,9,10,9
LOSREV199,92,10,10,4.8,10,9,10,10
LOSREV200,7,10,10,4.7,10,9,10,10
LOSREV201,34,8,9,4.3,9,8,9,8
LOSREV202,178,10,10,4.8,10,10,10,10
LOSREV203,5,10,10,4.8,10,9,10,8
LOSREV204,19,10,10,5,10,10,10,10
LOSREV205,11,10,10,4.9,10,9,10,9
LOSREV206,22,9,8,4,8,8,9,8
LOSREV207,46,10,10,4.8,10,9,10,10
LOSREV208,65,10,10,5,10,10,10,10
LOSREV209,1,8,10,5,10,8,10,10
LOSREV210,105,10,10,5,10,10,10,10
LOSREV211,57,10,10,5,10,10,10,10
LOSREV212,5,10,10,5,10,10,10,10
LOSREV213,277,9,9,4.9,9,9,10,9
LOSREV214,153,10,10,5,10,10,10,10
LOSREV215,11,10,10,4.8,10,9,9,9
LOSREV216,35,9,10,4.8,10,9,10,10
LOSREV217,84,10,10,5,10,10,10,10
LOSREV218,269,10,10,4.7,9,9,10,10
LOSREV219,18,10,10,4.9,9,10,10,10
LOSREV220,78,10,10,5,10,10,10,10
LOSREV221,154,9,10,4.8,10,10,10,10
LOSREV222,359,9,9,4.5,9,8,9,9
LOSREV223,34,10,9,4.6,10,9,10,9
LOSREV224,18,9,9,4.5,9,9,9,9
LOSREV225,42,10,10,5,10,10,10,10
LOSREV226,11,10,10,4.5,9,8,10,9
LOSREV227,1,10,10,5,10,10,10,10
LOSREV228,50,10,10,5,10,10,10,10
LOSREV229,62,10,10,4.8,10,9,10,10
LOSREV230,67,10,10,4.9,10,10,10,10
LOSREV231,29,10,10,5,10,10,10,10
LOSREV232,20,10,10,5,10,10,10,10
LOSREV233,172,10,10,4.9,10,10,10,10
LOSREV234,3,10,10,5,10,10,10,10
LOSREV235,100,10,10,5,10,10,10,10
LOSREV236,3,10,9,4.7,10,8,10,10
LOSREV237,277,10,10,5,10,10,10,10
LOSREV238,50,9,10,4.8,10,9,10,10
LOSREV239,97,10,9,4.7,10,9,10,9
LOSREV240,50,10,10,4.8,10,9,10,9
LOSREV241,28,10,10,5,10,10,10,10
LOSREV242,120,10,10,4.8,10,10,10,10
LOSREV243,76,10,10,4.7,10,10,10,9
LOSREV244,17,9,8,4.1,9,9,9,9
LOSREV245,98,10,10,5,10,10,10,10
LOSREV246,5,10,10,4.8,10,10,10,10
LOSREV247,3,10,10,4.5,10,10,9,10
LOSREV248,155,10,10,4.8,9,9,10,9
LOSREV249,112,10,10,5,10,10,10,10
LOSREV250,111,10,10,4.8,10,9,10,9
LOSREV251,11,10,10,5,10,10,10,9
LOSREV252,5,10,10,4.8,10,9,10,10
LOSREV253,1,6,8,4,8,4,8,10
LOSREV254,244,9,10,5,10,10,10,10
LOSREV255,147,10,10,4.8,10,9,10,10
LOSREV256,145,10,10,4.9,10,10,10,10
LOSREV257,143,10,10,5,10,10,10,10
LOSREV258,268,10,10,4.8,10,10,10,9
LOSREV259,145,10,10,5,10,10,10,10
LOSREV260,113,10,10,5,10,10,10,10
LOSREV261,17,10,10,5,10,10,10,10
LOSREV262,2,9,7,4,8,8,7,9
LOSREV263,108,10,10,4.9,10,10,10,9
LOSREV264,23,10,10,4.8,10,9,10,9
LOSREV265,319,10,10,5,10,10,10,10
LOSREV266,4,10,10,5,10,10,10,10
LOSREV267,120,10,10,5,10,10,10,10
LOSREV268,53,10,10,4.9,10,10,10,10
LOSREV269,82,10,10,4.9,10,10,10,10
LOSREV270,242,9,10,5,10,10,10,10
LOSREV271,253,10,10,4.9,10,10,10,10
LOSREV272,22,10,9,4.4,9,9,10,9
LOSREV273,53,10,10,5,10,10,10,10
LOSREV274,153,10,10,4.5,9,9,10,9
LOSREV275,63,10,10,5,10,10,10,10
LOSREV276,109,10,10,5,10,9,10,10
LOSREV277,217,10,10,4.9,10,10,10,10
LOSREV278,437,10,10,5,10,10,10,10
LOSREV279,6,9,9,4.2,8,9,10,10
LOSREV280,46,10,10,4.8,10,9,10,10
LOSREV281,6,10,10,5,10,10,10,10
LOSREV282,8,10,10,5,10,10,10,10
LOSREV283,1,10,10,5,10,10,10,10
LOSREV284,114,10,10,4.7,9,9,10,10
LOSREV285,68,9,9,4.3,9,9,10,8
LOSREV286,172,10,9,4.8,10,9,10,10
LOSREV287,14,9,9,4.5,9,9,9,9
LOSREV288,18,9,10,4.2,8,9,10,8
LOSREV289,4,10,9,4.5,9,9,8,9
LOSREV290,13,9,10,4.9,10,10,10,10
LOSREV291,36,10,10,4.8,10,10,10,10
LOSREV292,93,10,10,5,10,10,10,10
LOSREV293,97,10,10,4.8,10,9,10,9
LOSREV294,28,10,10,4.5,9,9,9,9
LOSREV295,72,10,10,5,10,10,10,10
LOSREV296,197,10,10,5,10,10,10,10
LOSREV297,504,10,10,4.9,10,10,10,10
LOSREV298,86,9,10,4.9,10,9,10,10
LOSREV299,25,10,10,5,10,10,10,10
LOSREV300,195,10,10,4.9,10,10,10,10
LOSREV301,67,10,10,5,10,10,10,10
LOSREV302,85,10,9,4.8,10,9,10,10
LOSREV303,200,10,10,4.8,10,10,10,10
LOSREV304,30,10,10,4.8,10,9,10,10
LOSREV305,197,9,10,4.7,9,9,10,9
LOSREV306,228,10,10,4.8,10,9,10,9
LOSREV307,318,10,10,5,10,10,10,10
LOSREV308,542,10,10,4.9,10,9,10,10
LOSREV309,56,10,10,4.8,10,10,10,10
LOSREV310,249,10,10,4.9,10,10,10,10
LOSREV311,94,10,10,4.8,10,9,10,9
LOSREV312,37,10,10,5,10,10,10,10
LOSREV313,187,10,10,4.9,10,9,10,10
LOSREV314,407,10,10,5,10,10,10,10
LOSREV315,10,10,10,5,10,10,10,10
LOSREV316,87,10,10,4.8,10,10,10,10
LOSREV317,47,10,10,4.8,10,9,10,10
LOSREV318,13,9,10,4.7,10,9,10,9
LOSREV319,322,10,10,5,10,10,10,10
LOSREV320,21,10,9,4.7,9,9,10,9
LOSREV321,5,10,10,5,9,10,10,10
LOSREV322,4,9,10,4.5,8,9,10,8
LOSREV323,4,10,9,4.7,9,8,7,9
LOSREV324,158,9,10,4.9,10,10,10,10
LOSREV325,1,10,10,5,10,10,10,10
LOSREV326,82,10,10,5,10,10,10,10
LOSREV327,10,10,10,5,10,10,10,10
LOSREV328,217,10,10,5,10,10,10,10
LOSREV329,44,10,10,5,10,9,10,10
LOSREV330,77,10,10,4.8,9,9,10,9
LOSREV331,153,10,10,5,10,10,10,10
LOSREV332,0,10,10,5,10,10,10,10
LOSREV333,7,9,9,4,9,9,9,9
LOSREV334,230,10,10,5,10,10,10,10
LOSREV335,325,10,10,4.8,10,9,10,10
LOSREV336,80,9,10,4.8,10,10,10,10
LOSREV337,46,10,10,5,10,10,10,10
LOSREV338,21,10,10,4.8,10,9,10,10
LOSREV339,144,10,10,4.8,10,10,10,10
LOSREV340,50,10,9,4.8,9,10,10,10
LOSREV341,50,10,10,4.7,9,9,10,9
LOSREV342,47,9,9,4.7,9,9,10,9
LOSREV343,52,10,10,5,10,10,10,10
LOSREV344,84,10,10,5,10,10,10,10
LOSREV345,62,9,8,4.1,8,8,9,8
LOSREV346,78,10,10,4.8,10,10,10,10
LOSREV347,31,10,10,4.5,9,9,10,9
LOSREV348,470,10,9,4.8,10,9,10,10
LOSREV349,256,10,10,5,10,10,10,10
LOSREV350,243,10,10,4.8,10,9,10,10
LOSREV351,9,10,10,4.9,10,10,10,10
LOSREV352,6,10,10,4.7,9,9,10,9
LOSREV353,44,10,10,5,10,10,10,10
LOSREV354,16,10,10,4.8,10,10,10,9
LOSREV355,285,10,10,5,10,10,10,10
LOSREV356,3,10,10,5,10,10,10,9
LOSREV357,36,10,10,4.8,10,10,10,10
LOSREV358,28,9,9,4.5,9,9,9,8
LOSREV359,59,9,9,4.2,8,8,9,8
LOSREV360,92,10,10,4.8,10,9,10,9
LOSREV361,107,10,10,5,10,10,10,10
LOSREV362,151,10,10,5,10,9,10,10
LOSREV363,40,9,9,4.6,9,9,10,9
LOSREV364,124,10,10,5,10,10,10,10
LOSREV365,73,10,10,5,10,10,10,10
LOSREV366,12,10,10,5,10,10,10,10
LOSREV367,2,10,10,3.5,10,8,9,10
LOSREV368,128,10,10,4.8,10,10,10,10
LOSREV369,214,10,10,4.8,10,10,10,10
LOSREV370,48,10,10,5,10,10,10,10
LOSREV371,78,9,10,4.8,10,9,10,10
LOSREV372,1,10,7,4,7,8,9,8
LOSREV373,212,10,10,5,10,10,10,10
LOSREV374,45,9,10,4.6,9,10,10,9
LOSREV375,14,10,10,5,10,10,10,10
LOSREV376,6,10,10,5,10,9,10,10
LOSREV377,27,10,10,5,10,10,10,10
LOSREV378,16,10,10,5,10,10,10,10
LOSREV379,269,10,10,4.8,10,10,10,10
LOSREV380,131,10,10,4.8,10,10,10,10
LOSREV381,85,10,10,4.9,10,10,10,10
LOSREV382,82,9,10,5,10,10,10,10
LOSREV383,12,10,10,5,10,10,10,10
LOSREV384,23,10,10,4.8,10,10,10,10
LOSREV385,261,10,10,5,10,10,10,10
LOSREV386,26,10,10,4.9,10,10,10,10
LOSREV387,174,10,10,5,10,10,10,10
LOSREV388,111,10,10,5,10,10,10,10
LOSREV389,386,9,10,4.8,10,10,10,10
LOSREV390,52,10,10,5,10,10,10,10
LOSREV391,31,10,10,4.8,10,9,10,9
LOSREV392,77,10,10,5,10,10,10,10
LOSREV393,174,10,10,5,10,10,10,10
LOSREV394,49,9,10,4.8,10,10,10,10
LOSREV395,229,10,10,4.8,10,10,10,10
LOSREV396,331,10,10,5,10,10,10,10
LOSREV397,119,10,10,4.9,10,10,10,10
LOSREV398,67,10,10,5,10,10,10,10
LOSREV399,136,10,10,4.8,9,9,10,10
LOSREV400,27,9,10,5,10,10,10,10
LOSREV401,383,10,10,4.8,10,10,10,10
LOSREV402,218,10,10,5,10,10,10,10
LOSREV403,105,10,10,5,10,10,10,10
LOSREV404,67,10,10,4.8,10,9,10,10
LOSREV405,33,10,10,5,10,10,10,10
LOSREV406,10,10,10,5,10,10,9,10
LOSREV407,8,10,8,4.4,8,9,10,9
LOSREV408,82,10,10,4.9,10,9,10,10
LOSREV409,26,9,8,4,8,8,8,8
LOSREV410,289,10,10,4.9,10,10,10,9
LOSREV411,138,10,9,4.7,10,9,10,9
LOSREV412,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV413,3,9,10,4.7,10,9,10,10
LOSREV414,2,9,7,3.5,8,8,6,10
LOSREV415,10,10,10,4.9,10,10,10,9
LOSREV416,14,10,9,4.7,10,9,10,10
LOSREV417,4,10,9,4.8,9,10,10,10
LOSREV418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV419,9,10,9,4.2,9,8,9,8
LOSREV420,47,10,10,5,10,10,10,10
LOSREV421,2,10,10,5,9,10,9,10
LOSREV422,15,10,10,4.5,9,9,9,9
LOSREV423,23,10,9,4.8,10,9,10,9
LOSREV424,4,10,10,5,10,10,10,10
LOSREV425,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV426,7,7,7,3.5,7,7,7,8
LOSREV427,118,10,10,5,10,10,10,10
LOSREV428,1,2,2,1,2,6,2,6
LOSREV429,1,10,10,5,10,10,10,10
LOSREV430,4,10,10,5,10,10,10,10
LOSREV431,5,8,10,4.2,9,8,10,8
LOSREV432,53,10,10,5,10,10,10,10
LOSREV433,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV434,39,10,10,5,10,10,10,10
LOSREV435,329,10,10,4.8,10,10,10,9
LOSREV436,4,10,10,4.2,8,9,10,10
LOSREV437,30,10,10,4.7,9,9,10,9
LOSREV438,81,8,10,4.5,9,8,10,9
LOSREV439,6,10,9,4.7,9,9,9,10
LOSREV440,23,9,8,4.2,8,9,8,9
LOSREV441,4,9,10,4.5,9,10,10,10
LOSREV442,24,10,9,4.2,9,9,9,9
LOSREV443,472,10,10,5,10,10,10,10
LOSREV444,19,9,9,4.3,9,9,7,9
LOSREV445,7,10,10,5,10,10,10,10
LOSREV446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV447,4,10,9,4.5,10,9,9,8
LOSREV448,27,10,10,4.7,10,9,9,9
LOSREV449,13,9,10,4.5,9,9,9,9
LOSREV450,9,10,10,5,10,10,10,10
LOSREV451,3,10,10,5,10,10,10,10
LOSREV452,30,10,10,5,10,9,10,10
LOSREV453,191,10,10,5,10,10,10,10
LOSREV454,216,10,10,4.8,10,10,10,10
LOSREV455,197,10,10,4.8,10,10,10,10
LOSREV456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV457,9,8,8,3.5,7,7,7,7
LOSREV458,2,9,8,4,7,7,8,7
LOSREV459,132,10,10,4.8,10,9,10,10
LOSREV460,10,8,8,4.1,8,8,9,8
LOSREV461,0,10,10,5,10,10,10,0.0
LOSREV462,83,10,10,4.8,10,9,10,10
LOSREV463,1,6,2,1,2,2,2,6
LOSREV464,54,10,9,4.8,9,9,9,9
LOSREV465,8,10,10,5,10,10,10,10
LOSREV466,4,10,10,4.2,10,9,10,10
LOSREV467,29,10,10,4.8,10,10,10,9
LOSREV468,7,9,9,4.5,9,9,9,9
LOSREV469,88,10,10,5,10,10,10,10
LOSREV470,28,10,10,4.8,10,10,10,10
LOSREV471,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV472,7,10,10,5,10,10,10,10
LOSREV473,4,10,10,4.5,10,9,10,9
LOSREV474,10,9,10,5,10,10,10,10
LOSREV475,42,10,10,4.8,9,10,10,10
LOSREV476,423,10,10,5,10,10,10,10
LOSREV477,77,9,10,4.8,10,10,10,10
LOSREV478,15,10,10,4.8,10,10,10,10
LOSREV479,3,10,10,5,10,9,10,10
LOSREV480,75,10,10,4.7,10,9,9,9
LOSREV481,115,9,9,4.5,9,8,8,9
LOSREV482,118,10,10,4.8,10,10,10,10
LOSREV483,20,10,10,4.5,9,9,9,9
LOSREV484,6,10,10,5,10,10,10,10
LOSREV485,36,10,10,5,10,9,10,10
LOSREV486,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV487,134,10,10,5,10,10,10,10
LOSREV488,80,10,9,4.8,9,9,10,10
LOSREV489,62,9,10,4.5,9,9,10,9
LOSREV490,13,10,9,4.2,9,9,10,8
LOSREV491,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV492,12,10,10,4.8,10,10,10,10
LOSREV493,30,9,9,4.7,9,9,10,9
LOSREV494,52,10,10,5,10,10,10,10
LOSREV495,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV496,66,9,10,4.8,10,9,10,10
LOSREV497,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSREV498,4,10,10,4.8,9,10,10,10
LOSREV499,24,10,10,5,10,10,10,10
LOSREV500,7,10,9,4.7,9,10,10,10
LONREV1,0,10,10,4,10,10,10,0.0
LONREV2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV3,3,10,10,5,10,10,10,10
LONREV4,20,10,10,4.8,10,10,10,10
LONREV5,1,8,8,3,4,4,6,4
LONREV6,4,10,10,4.2,8,9,10,7
LONREV7,1,10,10,5,10,10,8,10
LONREV8,33,10,10,5,10,10,10,10
LONREV9,6,10,10,4.8,10,8,10,8
LONREV10,116,9,9,4,8,9,9,8
LONREV11,4,10,10,4.5,10,9,10,9
LONREV12,2,9,8,5,10,9,9,10
LONREV13,11,9,8,4,9,8,7,8
LONREV14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV15,36,9,10,4.7,9,9,10,9
LONREV16,1,10,10,4,10,8,10,8
LONREV17,28,9,10,4.8,10,10,10,9
LONREV18,36,10,10,5,10,10,10,10
LONREV19,2,7,6,2.5,5,4,8,9
LONREV20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV21,57,9,10,4.3,9,9,10,8
LONREV22,10,9,8,4.4,8,9,9,8
LONREV23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV25,3,9,10,4.7,9,9,9,9
LONREV26,0,9,10,4,10,9,10,6
LONREV27,6,9,9,4.7,9,9,9,8
LONREV28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV29,5,10,9,4.6,10,9,10,9
LONREV30,66,10,10,4.8,10,10,10,10
LONREV31,1,10,10,5,10,10,10,10
LONREV32,2,10,10,5,10,10,10,10
LONREV33,2,10,10,5,10,10,10,10
LONREV34,0,10,10,4.3,9,9,10,9
LONREV35,3,9,8,4,9,7,10,7
LONREV36,29,10,10,4.8,10,10,10,10
LONREV37,4,10,9,4.8,10,8,9,10
LONREV38,3,10,10,4.8,10,9,10,10
LONREV39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV40,16,10,9,4.5,10,9,9,9
LONREV41,46,10,10,4.9,10,9,10,10
LONREV42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV43,8,10,10,4.9,10,9,10,10
LONREV44,7,9,10,4.7,9,9,9,9
LONREV45,4,10,10,4.8,10,10,9,10
LONREV46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV47,0,10,10,5,10,10,9,0.0
LONREV48,1,6,8,4,10,6,10,8
LONREV49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONREV50,1,10,10,5,10,10,10,10
LONREV51,15,10,10,5,10,9,10,10
LONREV52,17,10,9,4.7,10,10,10,10
LONREV53,49,10,10,4.7,10,9,10,10
LONREV54,10,8,9,4.2,9,9,9,9
LONREV55,21,9,10,4.8,10,9,10,10
LONREV56,4,10,10,4.8,10,9,9,10
LONREV57,9,10,10,4.8,10,10,9,9
LONREV58,7,9,9,4.3,8,8,9,9
LONREV59,3,10,10,4,7,8,10,10
LONREV60,12,9,9,4.5,10,9,9,9
LONREV61,1,10,8,5,10,8,10,10
LONREV62,2,7,10,5,10,8,10,10
